# ----------
#   GALAXY  
# ----------

galaxy "label omnis"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "raven"

planet "Roost"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "roost"

planet "Scout"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "scout"

planet "Shuttle"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "shuttle"

planet "Skein"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "skein"

planet "Sparrow"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "sparrow"

planet "Splinter"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "splinter"

planet "Star Barge"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "star barge"

planet "Star Queen"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "star queen"

planet "Surveillance Drone"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "surveillance drone"

planet "Vanguard"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "vanguard"

planet "Wasp"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "wasp"

# ---------------
#   PLANETS HAI
# ---------------

planet "Hai"
	landscape "landscape/station6"
	description `The Hai are a species of giant, intelligent rodents, who live to the north of human space. They allow any humans who discover their territory to live alongside them, and to trade with them and purchase their technology.`
	spaceport `The Hai are a species of giant, intelligent rodents, who live to the north of human space. They allow any humans who discover their territory to live alongside them, and to trade with them and purchase their technology.`
	outfitter "hai plugins"
	outfitter "hai vanilla"
	shipyard "hai plugins"
	shipyard "hai vanilla"
	bribe 0

planet "Hai Plugins"
	landscape "landscape/station6"
	description `The Hai are a species of giant, intelligent rodents, who live to the north of human space. They allow any humans who discover their territory to live alongside them, and to trade with them and purchase their technology.`
	spaceport `The Hai are a species of giant, intelligent rodents, who live to the north of human space. They allow any humans who discover their territory to live alongside them, and to trade with them and purchase their technology.`
	outfitter "hai plugins"
	shipyard "hai plugins"
	bribe 0

planet "Hai Vanilla"
	landscape "landscape/station6"
	description `The Hai are a species of giant, intelligent rodents, who live to the north of human space. They allow any humans who discover their territory to live alongside them, and to trade with them and purchase their technology.`
	spaceport `The Hai are a species of giant, intelligent rodents, who live to the north of human space. They allow any humans who discover their territory to live alongside them, and to trade with them and purchase their technology.`
	outfitter "hai vanilla"
	shipyard "hai vanilla"
	bribe 0

planet "Aphid"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "aphid"

planet "Centipede"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "centipede"

planet "Flea"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "flea"

planet "Geocoris"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "geocoris"

planet "Grasshopper"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "grasshopper"

planet "Lightning Bug"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "lightning bug"

planet "Pond Strider"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "pond strider"

planet "Shield Beetle"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "shield beetle"

planet "Solifuge"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "solifuge"

planet "Water Bug"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "water bug"

planet "Violin Spider"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "violin spider"

# -------------------
#   PLANETS REMNANT
# -------------------

planet "Remnant"
	landscape "landscape/station6"
	description `The Remnant are a group of unusual-looking humans that live in a secluded section of the galaxy. It is unclear how long they have lived apart from the rest of humanity, but they have been free of human influences for long enough that their culture is wildly different from any found in human record. Their buildings seem to be alien in origin, and they communicate amongst each other primarily with sign language. When they do use their voices they sing or chant, rather than speak.`
	spaceport `The Remnant are a group of unusual-looking humans that live in a secluded section of the galaxy. It is unclear how long they have lived apart from the rest of humanity, but they have been free of human influences for long enough that their culture is wildly different from any found in human record. Their buildings seem to be alien in origin, and they communicate amongst each other primarily with sign language. When they do use their voices they sing or chant, rather than speak.`
	outfitter "remnant plugins"
	outfitter "remnant vanilla"
	shipyard "remnant plugins"
	shipyard "remnant vanilla"
	bribe 0

planet "Remnant Plugins"
	landscape "landscape/station6"
	description `The Remnant are a group of unusual-looking humans that live in a secluded section of the galaxy. It is unclear how long they have lived apart from the rest of humanity, but they have been free of human influences for long enough that their culture is wildly different from any found in human record. Their buildings seem to be alien in origin, and they communicate amongst each other primarily with sign language. When they do use their voices they sing or chant, rather than speak.`
	spaceport `The Remnant are a group of unusual-looking humans that live in a secluded section of the galaxy. It is unclear how long they have lived apart from the rest of humanity, but they have been free of human influences for long enough that their culture is wildly different from any found in human record. Their buildings seem to be alien in origin, and they communicate amongst each other primarily with sign language. When they do use their voices they sing or chant, rather than speak.`
	outfitter "remnant plugins"
	shipyard "remnant plugins"
	bribe 0

planet "Remnant Vanilla"
	landscape "landscape/station6"
	description `The Remnant are a group of unusual-looking humans that live in a secluded section of the galaxy. It is unclear how long they have lived apart from the rest of humanity, but they have been free of human influences for long enough that their culture is wildly different from any found in human record. Their buildings seem to be alien in origin, and they communicate amongst each other primarily with sign language. When they do use their voices they sing or chant, rather than speak.`
	spaceport `The Remnant are a group of unusual-looking humans that live in a secluded section of the galaxy. It is unclear how long they have lived apart from the rest of humanity, but they have been free of human influences for long enough that their culture is wildly different from any found in human record. Their buildings seem to be alien in origin, and they communicate amongst each other primarily with sign language. When they do use their voices they sing or chant, rather than speak.`
	outfitter "remnant vanilla"
	shipyard "remnant vanilla"
	bribe 0

planet "Albatross "
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "albatross"

planet "Gull"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "gull"
		
planet "Heron"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "heron"

planet "Ibis"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "ibis"

planet "Pelican"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "pelican"

planet "Penguin"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "penguin"

planet "Peregrine"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "peregrine"
		
planet "Petrel"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "petrel"

planet "Puffin"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "puffin"

planet "Starling"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "starling"
		
planet "Tern"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "tern"

# ------------------
#   PLANETS KA'HET
# ------------------

planet "Ka'het"
	landscape landscape/station6
	description ``
	spaceport ``
	outfitter "ka'het plugins"
	outfitter "ka'het vanilla"
	shipyard "ka'het plugins"
	shipyard "ka'het vanilla"
	bribe 0

planet "Ka'het Plugins"
	landscape "landscape/station6"
	description ``
	spaceport ``
	outfitter "ka'het plugins"
	shipyard "ka'het plugins"
	bribe 0

planet "Ka'het Vanilla"
	landscape "landscape/station6"
	description ``
	spaceport ``
	outfitter "ka'het vanilla"
	shipyard "ka'het vanilla"
	bribe 0

planet "Faes'mar"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "faes'mar"

planet "Maeri'het"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "maeri'het"

planet "Selii'mar"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "selii'mar"

planet "Telis'het"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "telis'het"

planet "Vareti'het"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "vareti'het"

# ------------------
#   PLANETS KORATH
# ------------------

planet "Korath"
	landscape "landscape/station6"
	description `The Korath are reptilian, bipedal aliens whose territory is almost entirely in ruins: cities destroyed and entire planets scarred by what appears to have been a vicious civil war. Several factions of Korath survive. The "Kor Efreti" live in the shelter of a Quarg ringworld and are on peaceful terms with the Quarg. Other Korath, living as exiles near the galactic core, have been raiding human worlds to steal food and supplies. And deeper in Korath space, two massive armies of automated war drones, known as the Kor Mereti and the Kor Sestor, are locked in an unending struggle. They attack any visitors to their region of space, including the Quarg.`
	spaceport `The Korath are reptilian, bipedal aliens whose territory is almost entirely in ruins: cities destroyed and entire planets scarred by what appears to have been a vicious civil war. Several factions of Korath survive. The "Kor Efreti" live in the shelter of a Quarg ringworld and are on peaceful terms with the Quarg. Other Korath, living as exiles near the galactic core, have been raiding human worlds to steal food and supplies. And deeper in Korath space, two massive armies of automated war drones, known as the Kor Mereti and the Kor Sestor, are locked in an unending struggle. They attack any visitors to their region of space, including the Quarg.`
	outfitter "korath plugins"
	outfitter "korath vanilla"
	shipyard "korath plugins"
	shipyard "korath vanilla"
	bribe 0

planet "Korath Plugins"
	landscape "landscape/station6"
	description `The Korath are reptilian, bipedal aliens whose territory is almost entirely in ruins: cities destroyed and entire planets scarred by what appears to have been a vicious civil war. Several factions of Korath survive. The "Kor Efreti" live in the shelter of a Quarg ringworld and are on peaceful terms with the Quarg. Other Korath, living as exiles near the galactic core, have been raiding human worlds to steal food and supplies. And deeper in Korath space, two massive armies of automated war drones, known as the Kor Mereti and the Kor Sestor, are locked in an unending struggle. They attack any visitors to their region of space, including the Quarg.`
	spaceport `The Korath are reptilian, bipedal aliens whose territory is almost entirely in ruins: cities destroyed and entire planets scarred by what appears to have been a vicious civil war. Several factions of Korath survive. The "Kor Efreti" live in the shelter of a Quarg ringworld and are on peaceful terms with the Quarg. Other Korath, living as exiles near the galactic core, have been raiding human worlds to steal food and supplies. And deeper in Korath space, two massive armies of automated war drones, known as the Kor Mereti and the Kor Sestor, are locked in an unending struggle. They attack any visitors to their region of space, including the Quarg.`
	outfitter "korath plugins"
	shipyard "korath plugins"
	bribe 0

planet "Korath Vanilla"
	landscape "landscape/station6"
	description `The Korath are reptilian, bipedal aliens whose territory is almost entirely in ruins: cities destroyed and entire planets scarred by what appears to have been a vicious civil war. Several factions of Korath survive. The "Kor Efreti" live in the shelter of a Quarg ringworld and are on peaceful terms with the Quarg. Other Korath, living as exiles near the galactic core, have been raiding human worlds to steal food and supplies. And deeper in Korath space, two massive armies of automated war drones, known as the Kor Mereti and the Kor Sestor, are locked in an unending struggle. They attack any visitors to their region of space, including the Quarg.`
	spaceport `The Korath are reptilian, bipedal aliens whose territory is almost entirely in ruins: cities destroyed and entire planets scarred by what appears to have been a vicious civil war. Several factions of Korath survive. The "Kor Efreti" live in the shelter of a Quarg ringworld and are on peaceful terms with the Quarg. Other Korath, living as exiles near the galactic core, have been raiding human worlds to steal food and supplies. And deeper in Korath space, two massive armies of automated war drones, known as the Kor Mereti and the Kor Sestor, are locked in an unending struggle. They attack any visitors to their region of space, including the Quarg.`
	outfitter "korath vanilla"
	shipyard "korath vanilla"
	bribe 0

planet "Far Lek 14"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "far lek 14"

planet "Far Osk 27"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "far osk 27"

planet "Kar Ik Vot 349"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "kar ik vot 349"

planet "Korath Chaser"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "korath chaser"

planet "Korath Raider"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "korath raider"

planet "Korath Dredger"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "korath dredger"

planet "Korath World-Ship A"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "korath world-ship a"

planet "Korath World-Ship B"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "korath world-ship b"

planet "Korath World-Ship C"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "korath world-ship c"

planet "Met Par Tek 53"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "met par tek 53"

planet "Model 128"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "model 128"

planet "Model 16"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "model 16"

planet "Model 256"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "model 256"

planet "Model 32"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "model 32"

planet "Model 512"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "model 512"

planet "Model 64"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "model 64"

planet "Model 8"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "model 8"

planet "Tek Far 109"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "tek far 109"

planet "Tek Far 71 - Lek"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "tek far 71 lek"

planet "Tek Far 78 - Osk"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "tek far 78 osk"

# --------------------
#  PLANETS WANDERER
# --------------------

planet "Wanderer"
	landscape "landscape/station6"
	description `The Wanderers are a bird-like species who inhabit a small region of space adjacent to the Hai. They have been under attack by the "Unfettered" Hai for some time. The Wanderers claim to be peaceful, and most of their ships are not designed for military use.`
	spaceport `The Wanderers are a bird-like species who inhabit a small region of space adjacent to the Hai. They have been under attack by the "Unfettered" Hai for some time. The Wanderers claim to be peaceful, and most of their ships are not designed for military use.`
	outfitter "wanderer plugins"
	outfitter "wanderer vanilla"
	shipyard "wanderer plugins"
	shipyard "wanderer vanilla"
	bribe 0

planet "Wanderer Plugins"
	landscape "landscape/station6"
	description `The Wanderers are a bird-like species who inhabit a small region of space adjacent to the Hai. They have been under attack by the "Unfettered" Hai for some time. The Wanderers claim to be peaceful, and most of their ships are not designed for military use.`
	spaceport `The Wanderers are a bird-like species who inhabit a small region of space adjacent to the Hai. They have been under attack by the "Unfettered" Hai for some time. The Wanderers claim to be peaceful, and most of their ships are not designed for military use.`
	outfitter "wanderer plugins"
	shipyard "wanderer plugins"
	bribe 0

planet "Wanderer Vanilla"
	landscape "landscape/station6"
	description `The Wanderers are a bird-like species who inhabit a small region of space adjacent to the Hai. They have been under attack by the "Unfettered" Hai for some time. The Wanderers claim to be peaceful, and most of their ships are not designed for military use.`
	spaceport `The Wanderers are a bird-like species who inhabit a small region of space adjacent to the Hai. They have been under attack by the "Unfettered" Hai for some time. The Wanderers claim to be peaceful, and most of their ships are not designed for military use.`
	outfitter "wanderer vanilla"
	shipyard "wanderer vanilla"
	bribe 0

planet "Autumn Leaf"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "autumn leaf"

planet "Cool Breeze"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "cool breeze"

planet "Deep River"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "deep river"

planet "Deep River Transport"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "deep river transport"

planet "Derecho"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "derecho"

planet "Earth Shaper"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "earth shaper"

planet "Flycatcher"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "flycatcher"

planet "Hurricane"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "hurricane"

planet "Riptide"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "riptide"

planet "Strong Wind"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "strong wind"

planet "Summer Leaf"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "summer leaf"

planet "Tempest"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "tempest"

planet "Winter Gale"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "winter gale"

# --------------------
#   PLANET COALITION
# --------------------

planet "Coalition"
	landscape "landscape/station6"
	description `The Coalition is an alliance of three different alien species living in peace with each other: the Saryds, the Kimek, and the Arachi. On many Coalition worlds, all three species live together in harmony, which is made easier by the fact that each species prefers a very different climate and thus gravitates to different parts of a planet. They are ruled by individuals known as the Heliarchs.`
	spaceport `The Coalition is an alliance of three different alien species living in peace with each other: the Saryds, the Kimek, and the Arachi. On many Coalition worlds, all three species live together in harmony, which is made easier by the fact that each species prefers a very different climate and thus gravitates to different parts of a planet. They are ruled by individuals known as the Heliarchs.`
	outfitter "coalition plugins"
	outfitter "coalition vanilla"
	shipyard "coalition plugins"
	shipyard "coalition vanilla"
	bribe 0

planet "Coalition Plugins"
	landscape "landscape/station6"
	description `The Coalition is an alliance of three different alien species living in peace with each other: the Saryds, the Kimek, and the Arachi. On many Coalition worlds, all three species live together in harmony, which is made easier by the fact that each species prefers a very different climate and thus gravitates to different parts of a planet. They are ruled by individuals known as the Heliarchs.`
	spaceport `The Coalition is an alliance of three different alien species living in peace with each other: the Saryds, the Kimek, and the Arachi. On many Coalition worlds, all three species live together in harmony, which is made easier by the fact that each species prefers a very different climate and thus gravitates to different parts of a planet. They are ruled by individuals known as the Heliarchs.`
	outfitter "coalition plugins"
	shipyard "coalition plugins"
	bribe 0

planet "Coalition Vanilla"
	landscape "landscape/station6"
	description `The Coalition is an alliance of three different alien species living in peace with each other: the Saryds, the Kimek, and the Arachi. On many Coalition worlds, all three species live together in harmony, which is made easier by the fact that each species prefers a very different climate and thus gravitates to different parts of a planet. They are ruled by individuals known as the Heliarchs.`
	spaceport `The Coalition is an alliance of three different alien species living in peace with each other: the Saryds, the Kimek, and the Arachi. On many Coalition worlds, all three species live together in harmony, which is made easier by the fact that each species prefers a very different climate and thus gravitates to different parts of a planet. They are ruled by individuals known as the Heliarchs.`
	outfitter "coalition vanilla"
	shipyard "coalition vanilla"
	bribe 0

planet "Arach Courier"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "arach courier"

planet "Arach Freighter"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "arach freighter"

planet "Arach Hulk"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "arach hulk"

planet "Arach Spindle"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "arach spindle"

planet "Arach Transport"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "arach transport"

planet "Heliarch Breacher"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "heliarch breacher"

planet "Heliarch Hunter"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "heliarch hunter"

planet "Heliarch Interdictor"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "heliarch interdictor"

planet "Heliarch Judicator"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "heliarch judicator"

planet "Heliarch Neutralizer"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "heliarch neutralizer"

planet "Heliarch Punisher"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "heliarch punisher"

planet "Heliarch Pursuer"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "heliarch pursuer"

planet "Heliarch Rover"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "heliarch rover"

planet "Heliarch Stalker"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "heliarch stalker"

planet "Kimek Briar"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "kimek briar"

planet "Kimek Spire"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "kimek spire"

planet "Kimek Thistle"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "kimek thistle"

planet "Kimek Thorn"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "kimek thorn"

planet "Saryd Runabout"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "saryd runabout"

planet "Saryd Sojourner"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "saryd sojourner"

planet "Saryd Traveler"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "saryd traveler"

planet "Saryd Visitor"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "saryd visitor"

# -----------------
#   PLANETS QUARG
# -----------------

planet "Quarg"
	landscape landscape/station6
	description `The Quarg are tall, thin, inscrutable aliens who evolved on a very small planet and can live comfortably on worlds with atmosphere so thin that a human being could not breathe it. They discovered spaceflight millions of years ago. Many of them live on artificially constructed ringworlds, including one in human space. They live at peace with most sentient species and claim to be in communication with an even older species named the Drak.`
	spaceport `The Quarg are tall, thin, inscrutable aliens who evolved on a very small planet and can live comfortably on worlds with atmosphere so thin that a human being could not breathe it. They discovered spaceflight millions of years ago. Many of them live on artificially constructed ringworlds, including one in human space. They live at peace with most sentient species and claim to be in communication with an even older species named the Drak.`
	outfitter "quarg plugins"
	outfitter "quarg vanilla"
	shipyard "quarg plugins"
	shipyard "quarg vanilla"
	bribe 0

planet "Quarg Plugins"
	landscape "landscape/station6"
	description `The Quarg are tall, thin, inscrutable aliens who evolved on a very small planet and can live comfortably on worlds with atmosphere so thin that a human being could not breathe it. They discovered spaceflight millions of years ago. Many of them live on artificially constructed ringworlds, including one in human space. They live at peace with most sentient species and claim to be in communication with an even older species named the Drak.`
	spaceport `The Quarg are tall, thin, inscrutable aliens who evolved on a very small planet and can live comfortably on worlds with atmosphere so thin that a human being could not breathe it. They discovered spaceflight millions of years ago. Many of them live on artificially constructed ringworlds, including one in human space. They live at peace with most sentient species and claim to be in communication with an even older species named the Drak.`
	outfitter "quarg plugins"
	shipyard "quarg plugins"
	bribe 0

planet "Quarg Vanilla"
	landscape "landscape/station6"
	description `The Quarg are tall, thin, inscrutable aliens who evolved on a very small planet and can live comfortably on worlds with atmosphere so thin that a human being could not breathe it. They discovered spaceflight millions of years ago. Many of them live on artificially constructed ringworlds, including one in human space. They live at peace with most sentient species and claim to be in communication with an even older species named the Drak.`
	spaceport `The Quarg are tall, thin, inscrutable aliens who evolved on a very small planet and can live comfortably on worlds with atmosphere so thin that a human being could not breathe it. They discovered spaceflight millions of years ago. Many of them live on artificially constructed ringworlds, including one in human space. They live at peace with most sentient species and claim to be in communication with an even older species named the Drak.`
	outfitter "quarg vanilla"
	shipyard "quarg vanilla"
	bribe 0

planet "Quarg Skylark"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "quarg skylark"

planet "Quarg Wardragon"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "quarg wardragon"

# ----------------
#   PLANETS DRAK
# ----------------

planet "Drak"
	landscape "landscape/station6"
	description `The Drak are supposedly the oldest living species in the galaxy. The Quarg say that the Drak act as something like galactic peacekeepers or police, and will intervene if a species invents a weapon so terrible that it could drive that species to extinction.`
	spaceport `The Drak are supposedly the oldest living species in the galaxy. The Quarg say that the Drak act as something like galactic peacekeepers or police, and will intervene if a species invents a weapon so terrible that it could drive that species to extinction.`
	outfitter "drak plugins"
	outfitter "drak vanilla"
	shipyard "drak plugins"
	shipyard "drak vanilla"
	bribe 0

planet "Drak Plugins"
	landscape "landscape/station6"
	description `The Drak are supposedly the oldest living species in the galaxy. The Quarg say that the Drak act as something like galactic peacekeepers or police, and will intervene if a species invents a weapon so terrible that it could drive that species to extinction.`
	spaceport `The Drak are supposedly the oldest living species in the galaxy. The Quarg say that the Drak act as something like galactic peacekeepers or police, and will intervene if a species invents a weapon so terrible that it could drive that species to extinction.`
	outfitter "drak plugins"
	shipyard "drak plugins"
	bribe 0

planet "Drak Vanilla"
	landscape "landscape/station6"
	description `The Drak are supposedly the oldest living species in the galaxy. The Quarg say that the Drak act as something like galactic peacekeepers or police, and will intervene if a species invents a weapon so terrible that it could drive that species to extinction.`
	spaceport `The Drak are supposedly the oldest living species in the galaxy. The Quarg say that the Drak act as something like galactic peacekeepers or police, and will intervene if a species invents a weapon so terrible that it could drive that species to extinction.`
	outfitter "drak vanilla"
	shipyard "drak vanilla"
	bribe 0

planet "Archon"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "archon"

planet "Ember Waste Node"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "ember waste node"

planet "Subsidurial"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "subsidurial"

planet "Void Sprite Infant"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "void sprite infant"

planet "Void Sprite"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "void sprite"

# ---------------
#   PLANETS PUG
# ---------------

planet "Pug"
	landscape "landscape/station6"
	description `The Quarg claim that the Pug are powerful enough that they could defeat the Quarg, or even the Drak, if they chose to. But the Pug treat warfare like a game. When battling another species, the Pug will limit themselves to ships and weapons that are weak enough that the other species has a chance of defeating them.`
	spaceport `The Quarg claim that the Pug are powerful enough that they could defeat the Quarg, or even the Drak, if they chose to. But the Pug treat warfare like a game. When battling another species, the Pug will limit themselves to ships and weapons that are weak enough that the other species has a chance of defeating them.`
	outfitter "pug plugins"
	outfitter "pug vanilla"
	shipyard "pug plugins"
	shipyard "pug vanilla"
	bribe 0

planet "Pug Plugins"
	landscape "landscape/station6"
	description `The Quarg claim that the Pug are powerful enough that they could defeat the Quarg, or even the Drak, if they chose to. But the Pug treat warfare like a game. When battling another species, the Pug will limit themselves to ships and weapons that are weak enough that the other species has a chance of defeating them.`
	spaceport `The Quarg claim that the Pug are powerful enough that they could defeat the Quarg, or even the Drak, if they chose to. But the Pug treat warfare like a game. When battling another species, the Pug will limit themselves to ships and weapons that are weak enough that the other species has a chance of defeating them.`
	outfitter "pug plugins"
	shipyard "pug plugins"
	bribe 0

planet "Pug Vanilla"
	landscape "landscape/station6"
	description `The Quarg claim that the Pug are powerful enough that they could defeat the Quarg, or even the Drak, if they chose to. But the Pug treat warfare like a game. When battling another species, the Pug will limit themselves to ships and weapons that are weak enough that the other species has a chance of defeating them.`
	spaceport `The Quarg claim that the Pug are powerful enough that they could defeat the Quarg, or even the Drak, if they chose to. But the Pug treat warfare like a game. When battling another species, the Pug will limit themselves to ships and weapons that are weak enough that the other species has a chance of defeating them.`
	outfitter "pug vanilla"
	shipyard "pug vanilla"
	bribe 0

planet "Pug Arfecta"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "pug arfecta"

planet "Pug Enfolta"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "pug enfolta"

planet "Pug Maboro"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "pug maboro"

planet "Pug Zibruka"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "pug zibruka"
